"End","CID","Location","Name","Start"
"10/2/2023 11:30:00 AM","19","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","モカ","10/2/2023 11:00:00 AM"
"10/2/2023 1:00:00 PM","19","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","モカ","10/2/2023 12:30:00 PM"
"10/2/2023 3:00:00 PM","19","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","モカ","10/2/2023 2:30:00 PM"
"10/2/2023 4:00:00 PM","19","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","モカ","10/2/2023 3:30:00 PM"
"10/2/2023 5:00:00 PM","19","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","モカ","10/2/2023 4:30:00 PM"
"10/2/2023 12:00:00 PM","22","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シフォン","10/2/2023 11:30:00 AM"
"10/2/2023 1:30:00 PM","22","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シフォン","10/2/2023 1:00:00 PM"
"10/2/2023 2:30:00 PM","22","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シフォン","10/2/2023 2:00:00 PM"
"10/2/2023 11:00:00 AM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","10/2/2023 10:30:00 AM"
"10/2/2023 12:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","10/2/2023 11:30:00 AM"
"10/2/2023 4:30:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","10/2/2023 4:00:00 PM"
"10/2/2023 3:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","10/2/2023 12:30:00 PM"
"10/2/2023 12:00:00 PM","48","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","クロミ","10/2/2023 10:30:00 AM"
"10/2/2023 5:00:00 PM","48","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","クロミ","10/2/2023 1:30:00 PM"
"10/2/2023 12:00:00 PM","52","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","シナモン","10/2/2023 10:30:00 AM"
"10/2/2023 5:00:00 PM","52","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","シナモン","10/2/2023 1:30:00 PM"
"10/2/2023 11:30:00 AM","53","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ウィッシュミーメル","10/2/2023 11:00:00 AM"
"10/2/2023 12:30:00 PM","53","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ウィッシュミーメル","10/2/2023 12:00:00 PM"
"10/2/2023 5:00:00 PM","53","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ウィッシュミーメル","10/2/2023 4:30:00 PM"
"10/2/2023 4:00:00 PM","53","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ウィッシュミーメル","10/2/2023 3:00:00 PM"
"10/2/2023 11:00:00 AM","55","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","アズキ","10/2/2023 10:30:00 AM"
"10/2/2023 12:30:00 PM","55","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","アズキ","10/2/2023 12:00:00 PM"
"10/2/2023 2:00:00 PM","55","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","アズキ","10/2/2023 1:30:00 PM"
"10/2/2023 3:30:00 PM","55","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","アズキ","10/2/2023 3:00:00 PM"
"10/2/2023 4:30:00 PM","55","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","アズキ","10/2/2023 4:00:00 PM"
"10/2/2023 12:00:00 PM","61","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","バッドばつ丸","10/2/2023 10:30:00 AM"
"10/2/2023 5:00:00 PM","61","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","バッドばつ丸","10/2/2023 1:30:00 PM"
